YorubaWords,PartOfSpeech
" lojiji, lairotele.", adv
" fi-silę, ko-silę.", v
" fifisilę, kikosilę", adj
 ikosilę pata- pata., n
" rè-silę, te-logò.", v
" irèsilę, iteloriba.", n
" dojuti, dāmu.", v
" bùkù, dinkù, fa-sehin.", v
" ibùkù, ifasęhin.", n
 ilé Olorun., n
" ke-kuru, şę-kù.", v
 ikekuru., n
 bọ oyè silę., v
 ikùn., n
 ti ikùn., adj
" fa kuro, gbe lo.", v
 igbe-lo., n
" ran-lowo, gbà-niyanju.", v
" idaduro, iyokuro.", n
 korira., v
 ikorira., n
" gbé, joko, duro de.", v
" agbara, oyé.", n
" aìnilări, dşi.", adj
" ibura, igegun.", n
" fi-bu, fi gegun.", v
" gbina, jo geregere.", adv
" lè, lagbara.", adj
 alagbara., adj
 ìwę wiwę., n
" isęràn, ikonkan", n
 ohun ajeji., adj
 ninu okỳ., adv
" ibugbe, ibujoko.", n
" pa-re, so-dasan,so-dofo.", v
" iparę isqdasan, isodofo.", n
" irira, egbin.", adj
" irira , egbin.", n
" ibilę, onilę.", n
 işęnu., n
 jasi asan., adj
" po si, di pipo.", v
" yika, leti, nitosi.", prep
 inukuro., n
 égbé-kan-egbé., adv
 ke kuru., v
 lode., adv
" şifin, fi sapakan.", v
" lojiji, laimętęlę.", adj
 ikojopo oyun., n
" sapamo, salo fun iyà.", v
 lai-si-nile., n
 kòsi., adj
 patapata., adv
" iwèmó, idariji,ifiji.", n
" dariji, fiji, tu-silę.", v
" mi, la, fa-mu.", v
" fà-sehin, takéte.", v
" aijeun, awę.", n
" mu kuro, fa jade.", v
" şişaito, aijana.", adj
 φρὸ., n
 lopolopo. , adv
" lo nilokulo, bú. n. ebú.", v
" ibú omi, ogbun ainisalę.", n
 ilé ękę giga., n
" ka-kun, fohùnsi.", v
" mu yara, muse kankan.", v
 tinabo., v
" tenumo, ami ohun.", v
" gbà, tewogba.", v
" gbigbà, titę. wogba.", adj
 itęwogba., n
 esun., n
 fi-sun., v
 olufisun., n
" huwa, sq daşà, mólara.", v
" ifó, iro.", n
" şe-tan, şe-pari.", v
" kan, kikan.", adj
" ikan, kikan.", n
 jewo., v
 ijęwo., n
" fi-han, fi-tó, sọ- fun.", v
" ifihan, oju- lumo.", n
" gbà, dakę, fi- arabalė.", v
" ikunlowo, gigori óyè.", n
" igba, idakę, ifarabalė.", n
" ona, aye.", n
 ēşi., n
" lairotelę. Acclamation, n. iho iyin.", adv
 fun laye., v
 aye., n
 ibanikęgbę., n
" ba-lo, ba-rin, ba-kegbe.", v
 elegbe eni ni iwa buburu., n
" şe-pari, şe-tan.", v
" aşetan, işe pari, işepe.", n
 and i. ba-rę. v. or n., v
 ibarę., n
 nitorina., adv
 tete ki., v
" işiro, ikasi. v. dahun fun.", n
 onişiro., n
 ko-jo., v
 ikojopo., n
" işegęgę, isedede.", n
" déde, pe şaka şaka.", adj
" fi-bú, fi-re, fi-gegun. Accursed, adj. eni egún.", v
" jere, de ibè.", v
" ini, ère.", n
" ohun ini, ère.", n
" jo-lowo, da-silę.", v
" idasilę, idalare.", n
" or adv. nibūbu, lati egbe kan de ekeji.", prep
" se, rú. n. işe, ofin.", v
" işe, irú.", n
" yara, şişe, şäpon.", adj
" iyara, apon.", n
" nitõto, pāpa.", adj
" mu-şe. Acute, adj. mimu.", v
 owe., n
" mu-yę, mu badogba.", v
 imuye., n
" fi-si, fi-kun, rò-pò.", v
 pamolę., n
" ifikun, iròpo.", n
" ba-soro, kowe-si. n. iba-soro.", v
 ologbon., n
 to-fun., adj
" fara-mo, so-mo.", v
" élegbè, omo-ehin.", n
" ona're, odigbose. ", adv
" itosi, àgbègbe.", n
" and i. şi-lowo, di-ojo miran.", v
" işilowo, idi-ojo", n
" dajo-fun, dalejo.", v
" fi-kun, ka-kún.", adj
 fi-bú., v
" to-lesēsę, tun-şe.", v
 itunşe., n
 şe ipinfunni., v
 ipinfunni., n
" olupinfunni, olutoju.", n
 niyin., adj
 olori ọkỳ., n
" fé, yìn.", v
" oluféni, ayinni.", n
" igba, jijęwo.", n
" gbà sile, jęwo.", v
" igbasile, iwole.", n
 dà-lu., v
 idalu., n
" kilo, ba-wi.", v
" ikilo, ibawi.", n
" iyonu, aisimi.", n
" idagbasoke, odomokunrin.", n
 sodomo., v
 isodomo., n
" ibola, ijubà, iyin-logo.", n
" jubà, bu-qla, fun.", v
 se-lóso., v
 oso., n
 gba-lo., adv
" gbón, mọ-se.", adj
 iponni., n
" or adj. agba, àgbalagba.", n
" lú, baję, şedaru-dapp.", v
 idalu., n
 pansaga okonrin., n
 pansaga obirin., n
" pansaga, àgbere.", n
 ilosiwaju., n
" anfani, èrè, iró rùn.", n
 rórùn., adj
" bibò, wiwa.", n
" and i. gbidanwo, dawole. n. idawole.", v
" olugbidanwo, oludawole.", n
" laiya, nida- wole.", adj
 ota., n
 lodisi., adj
" iponju, wahala, jamba.", n
" sq-fun, kede, ròhin.", v
" irohin, isofun, ikede.", n
" imoran, ifonahan.", n
 yę ni şişe., adj
" kó, fonahan, şiniye.", v
 tirotiro., adv
" oluko, olufonahan.", n
" igbaso, igbawi.", n
 alagbawi., n
 loju prun., adj
" jijin, jina.", adv
" peleniwa, ninurere,", adj
" işe, oran.", n
" ifa pkan, iwuri, kan.", v
" ifarawe, isinję.", n
 ife., n
" eni-ifę, kun fun ifé.", adj
" igbękęle, igbeyawo.", n
" ifibura, sotelę.", n
 sорото., v
 ibádana., n
 tenumo şinşin., v
 itenumo., n
" fi-mo, so-mo-lehin.", v
" pon-loju, je-niyà, yo-lenu.", v
" iponju, ijiya, da- loro.", n
" işansi, lórò, opp. ", n
" plorò, şişansi, opo.", adj
" so, fi-fun, nawo.", v
" ija, ariwo, nla, asq.", n
" deruba, da-ni-iji (daniji).", v
" işafojudisi. v. safo judisi, to.", n
 or adv. gbina., adj
" iwaiya ija, irora.", n
" and i. finusokan, şadehun, fohùnşọkan.", v
" yiyę, dara.", adj
" adehun, ifinu şokan, ifohunşokan.", n
" or adv. luwé, fó loju omi.", adj
" iróko, işàgbè.", n
 or adv. lesè., adj
" or prep. niwaju, şaju.", adv
 or adv. wi-télệ., adj
" nigbatijo, ni- gbani.", adv
" beru, foiya.", adj
" lotun, nititun.", adv
 lehin., prep
" qsan, aşalę.", n
 inurirun lehin ibimo (inu àgaro)., n
" wę, lękeji, tun.", adv
" lodisi, şo-disi, de. Age, n. akokò, igba, ojo ori. v.", prep
" gbo, arugbo.", adj
" işęhindeni, işojueni.", n
 asojuęni., n
" sq-di-nla, gbe-ga.", v
" igbega, isodinla.", n
" bi-ninu, sodi", v
 imubinu., n
 kojopo. n., v
 ikojopo., n
" ifinran, iteteto.", n
" ofinra, atoni.", n
" sè, ba-ninuję.", v
 or adv. diji., adj
" yara, mura giri.", adj
" iyara, imura giri.", n
" mì, şi, ru soke, ré. Agitation, n. imi, işi, irusoke, iré.", v
 koja., adj
 and i. jerora., v
" àgbè, aroko.", n
 otutu ako iba tūlu., n
 a., interj
 niwaju., adv
" ran-lowo, ti-lehin", v
" iranlowo, itilęhin.", n
" and i. rùn, şaisan. Ailment, n. arun, ailera, aisan.", v
" and i. won-wo, fe, fojusi.", v
" ofurufu, afęfe, oju-", n
 ibon ti a nfi afefe yin., n
 iho afefe., n
 ailafefe., adj
 ni afefe., adj
 laititan., adv
 ibatan nipa ibi., adj
" idaraya, imura.", n
" da-niji, da-idagiri.", v
 ose., interj
 biotilę., conj
 iwe ifi aworan si., n
 ohun ti npa ni ninu oti., n
 onidajo ilu., n
" sora, yara, daraya. n. işora.", adj
 tabi. n. oruko arinję., adv
" alejo, ajeji.", n
 fi lowo elomiran., v
" so-kalę, bà.", v
" jo, bakanna, dabi.", adj
" yè, alâyè.", adj
", adv., n. or pron. gbogbo, olukuluku.", adj
" wo-san, mu-fúyę.", v
" itenumo, awawi.", n
" tenumo, rò.", v
" isin-oba, iteriba,", n
" owe, iforanweran. Alleluia, n. iyin Olorun.", n
" wo-san, mu saoki,", v
" imusan, idèlara", n
 ona hiha., n
 alafia., interj
" ibaşoré, ibatan.", n
 oni., n
" fi-sipo, pin fun.", v
" ipin, ipo.", n
" pin, fifun.", v
" ję, jęwo, yoda.", v
" ipin, ijewo owo-", n
" adalu, ibaję.", n
" daso, toka si.", v
" tàn, fa-lọ.", v
" etan, idę.", n
" itoka si, imenukan.", n
" ibarę, ibamopo.", n
" iwe igba ati akoko, iwe kika ojo.", n
 Olodumare., n
" ferę, kù dię.", adv
 pré-anu., n
" ifunnilebun, itore.", n
" loke, lori.", adv
 on nikan., adj
" pelu, lodo.", adv
" lokere, nitakete.", adv
" kikan, rara. Already, adv. nisisiyi, şiwaju", adv
" pelu-pelu, pelu.", adv
 pepe., n
" and i. pàro, yi-pada, tun-şe.", v
" iparo, itunşe.", n
" asò, ija.", n
 and i. tèle lokokan., v
 yiyàn., n
 bi o tilęjępe., conj
 giga., n
 patapata., adv
" nigbagbogbo, titi", adv
" ni, wa, be.", v
" and i. dapo, dalu.", v
" idapo, idalu. Amanuensis, n. akowe.", n
 ko jopo., v
" eniti o ko ohun- kohun, sugbon ti ko fi şe", n
" yalenu, ha-şe.", v
 iyanu., n
 jagun jagun obinrin., n
" iko oba, onsę.", n
" aidaju, onitu- momeji, aişetāra.", adj
" ifę agbara, ifę ipa.", n
 qkanjuwa., adj
 ibùba., n
 bibá ni buba., n
 and i. mu san dię., v
 isandię., n
" amin, beni ki o ri,", interj
" and i. tun-şe, şe rere.", v
 itunşe., n
 ęsan itunşe., n
" inu rere, ni iwu.", adj
 bi pré., adj
" aito, şişina.", adj
" işoré, inu didun.", n
 ohun ija., n
 idariji elewon., n
 ti ifę., adj
 iye. v. ję., n
" agbelęgbomi,", adj
" tobi, po, to. ", adj
 ke kuro., v
 ikekuro., n
" õgun, tírà, õndè.", n
" mu laraya, ba şire.", v
" imularaya, işire.", n
 kan., adj
 aini eję to lara., n
" ijora, ifiwe.", n
" itu si węwę, ituka", n
" iwarudurudu, ailoba", n
" ifibu, egun.", n
" and i. fi-bu, gegun fun.", v
 ipin ara., n
" õbi, ara igbaní.", n
" ibi, itilende, awon", n
 idakoro., n
" gbó, pę, igbani. And, conj. on, ati, si.", adj
 itan kekere., n
 titun., adv
" angeli, onsę Olorun.", n
 ibinu., n
" iwo apēja, igún.", n
 apęja., n
 ti Oyinbo., adj
" binu, mu-binu.", adj
" irora, àrokan, àro-", n
" eran, eda elemi.", n
 sq-di aye., v
 idaraya., n
" irira, ibinu.", n
 kokosè., n
 ohun oso kokosệ., n
" itan aiye, itan ilu.", n
" somó, dapo, fi-mo.", v
" ifikun, isopomó, idapomo.", n
" pa-rę, sq-dasan, so-dofo.", v
" iparę, isodasan, isodofo.", n
 ajòdún., n
" and i. sq-asqye, so-itumo.", v
" itumo, asqye. Announce, v. kede, filo, sọ", n
" ikede, ifilo.", n
" to, yo-lenu.", v
" ito, iyonu.", n
 lododun., adj
 owo ododun., n
" pa-rę, mu-kuro.", v
 bi oruka., adj
" ikede, imu-", n
" fi ororo pa, tororosi.", v
 eni ami ororo., n
 lodi si ofin., n
" nisisiyi, lojukanna.", adv
" ailoruko. Another, adj. omiràn, omi.", adj
" and i. da-lohun, jé", v
" õrà, ērùn.", n
" ota, onija.", n
 şişaju., adj
 yará akokan., n
 tete kajosi., v
 şaju kikun omi., adj
 esuro., n
 saju ibi., adj
 şaju igbeyawo., adj
" tișaju, tiwaju.", adj
" orin mimo, orin iyin.", n
" okiti ērà, agiyan.", n
 ere ti o npa ni lerin., n
 lodi si Kristi., n
 aşodi si ęko Kristian., adj
" tete șe, fojusona, towo telę.", v
" itowotelę, imo- tele.", n
" aporo, apiwo.", n
 aso aga., n
 tiro., n
 ękę lodi si ofin, n
 irira., n
 awọn ti iha keji, n
 nkan igbani., n
 ohun atijo., n
 egbogi ti kò ję ki, n
 eni-apere., n
 õlu alagbędę., n
" ajd, aniyan, aibalę", n
" sājo, şaniyan.", adj
 eyikeyi., adj
 enikeni., n
 lonakona., adv
 ohunkohun., n
 ibikibi., adv
" kiakia, yarayara.", adv
" lapakan, sóto.", adv
 iyará., n
 aibikita., n
" obo, akiti.", n
 egbogi iyagbę., n
" iho, alafo.", n
 sonso., n
 lokokan., adv
 ifihan., n
" iwe mimo ti a kò mo eniti o ko won, aşiri.", n
 bębe., v
" owe, itàn.", n
" awawi, ijęwo, èbe.", n
 warapa., n
 iyipada kuro ninu, n
" ojişę Kristi, apostili.", n
" onişegun, oluta", n
" deruba, fo-laiya.", v
 ohun èlo., n
" asp, ewu, १६९.", n
 hàn gbangba., adj
" iran, ifarahan.", n
" fi qran lọ, bębe.", v
" hàn, farahàn, yọ- jade.", v
" ifarahan, iyojade.", n
" tù-ninu, șipe-fun.", v
" oruko, aniję.", n
" fi-kỳ, so-mộ.", v
" ifikó, isomo.", n
 ifikun., n
 je ti., v
" ifé onję, pipa lebi.", n
 and i. yin nipa, v
 iyin., n
 eso kan bi dro oyinbo., n
 eniti o bère., n
" ifokansi, ifisi,", n
" and i. fisi, lò, bere fun.", v
" yàn, ya-sọtọ, pinnu. Appointment, n. iyan, ipinnu.", v
 pin ni dede., v
" ba-mu, yiyę.", adj
 ifisi legbękęgbę., n
 diyele., v
" and i. moyi, moye.", v
" di-mu, gba-mu;", v
 iberu; idimu., n
 ompişe eniti, n
 igba ti ada fun eniti nkoşę., n
 sq-fun., v
 and i. sunmo. n. isunmo., v
" idunmo, inu. didun si.", n
" lo fun ara re,", v
 ifohunsi., n
 and i. şe inudidun si., v
 and i. mu-, v
 isunmo., n
 oşu kerin odun., n
 bànté., n
" yę, mura.", adj
" yiyę, imura.", n
 hihu ninu omi., adj
" āka, tabi akika.", n
